catagory,action-link-href,name,company,rate,privacy-policy-link-href
Business & finance,https://assistant.google.com/services/a/uid/000010a69aa0226f,Kotak,Kotak Mahindra Bank Ltd.,0,http://www.kotak.com/bank/common/privacy_policy.htm
Shopping,https://assistant.google.com/services/a/uid/000000501276bddb,Levi's,Levi's,4,http://www.letslinc.com/privacy-policy
Shopping,https://assistant.google.com/services/a/uid/000000ec4c947f98,SwimOutlet.com,Linc Global,5,http://www.letslinc.com/privacy-policy
Shopping,https://assistant.google.com/services/a/uid/0000005abc934b1f,Neiman Marcus,"Linc Globa, Inc",1,http://www.letslinc.com/privacy-policy/
Shopping,https://assistant.google.com/services/a/uid/0000008d09b56f1a,Sell 4 Shore,,3.1,http://www.limericky.com/privacy.html
Shopping,https://assistant.google.com/services/a/uid/000000b2d743e3d7,Macy's,Macy's Inc.,5,http://www.macysinc.com/privacy-policy/
Local,https://assistant.google.com/services/a/uid/0000006ec5151c67,I am looking for a pharmacy,Julien MAHDAVI,3,http://www.mahdavi.fr/priv.php?P=projet31-2d5c8&L=en
Local,https://assistant.google.com/services/a/uid/0000006f65bce768,Directory of lawyers,Julien MAHDAVI,0,http://www.mahdavi.fr/priv.php?P=projet55-cb896&L=en
Local,https://assistant.google.com/services/a/uid/000000c0256bfe2d,Casinos directory,Julien MAHDAVI,5,http://www.mahdavi.fr/priv.php?P=projet71&L=en
Local,https://assistant.google.com/services/a/uid/000000363d6ed28b,I am looking for a bank,Julien MAHDAVI,0,http://www.mahdavi.fr/priv.php?P=projet76-8ae7c&L=en
Local,https://assistant.google.com/services/a/uid/00000006f1d36b3f,I am looking for a bar,Julien MAHDAVI,0,http://www.mahdavi.fr/priv.php?P=projet77-7eb9f&L=en
"Movies, photos & TV",https://assistant.google.com/services/a/uid/0000009cfc1d472a,Movie guide,Maildover LLC,5,http://www.maildover.com/movie_guide_privacy_policy.html
Local,https://assistant.google.com/services/a/uid/000000295e7b6b3c,The City of Marietta,City of Marietta,3,http://www.mariettaga.gov/privacy
